timestamp_unix,elapsed_sec,x_m,y_m,heading_deg,speed,steering,cds_value
1783400762.365,24.91,2.59566119533117,0.6614824543960351,36.82786707999229,50,1.0,1
1783400762.472,25.01,2.6380918830915876,0.6949153288108642,38.236020951833375,50,1.0,1
1783400762.579,25.12,2.6796511019973903,0.7293485434036395,39.64289416445055,50,1.0,1
1783400762.686,25.23,2.720393884977825,0.7648297157938946,41.0512332296598,50,1.0,1
1783400762.793,25.33,2.7602121089715728,0.8012628871031615,42.45811899775956,50,1.0,1
1783400762.9,25.44,2.7991345759038313,0.838673573256313,43.865403402431475,50,1.0,1
1783400763.006,25.55,2.8371281762193523,0.8770306356867728,45.272750584516324,50,1.0,1
1783400763.117,25.66,2.875264425891959,0.9175322557973931,46.72289626787075,50,1.0,1
1783400763.23,25.77,2.9135953593896455,0.960437187950099,48.222645524057086,50,1.0,1
1783400763.337,25.88,2.9484906655747087,1.0014780770162068,49.626913474037394,50,1.0,1
1783400763.444,25.99,2.982418914905034,1.0434257778415186,51.03328446735108,50,1.0,1
1783400763.551,26.09,3.015374768004303,1.0862857563640091,52.442631110037965,50,1.0,1
1783400763.658,26.2,3.0472330032800623,1.129895025527505,53.85044598384919,50,1.0,1
1783400763.765,26.31,3.0779637384308445,1.174203198477851,55.256057370466344,50,1.0,1
1783400763.872,26.41,3.1076353562847294,1.2193112583165566,56.6634924409293,50,1.0,1
1783400763.978,26.52,3.136154355919584,1.265073906572518,58.06909441093452,50,1.0,1
1783400764.086,26.63,3.1638431773528146,1.312062981518026,59.49082075945252,50,1.0,1
1783400764.193,26.74,3.1900972618625323,1.3592282747578386,60.8979419428508,50,1.0,1
1783400764.3,26.84,3.2151841512504715,1.4070218917976598,62.305000348836145,50,1.0,1
1783400764.407,26.95,3.2391021516988725,1.4554435581534333,63.71281836151802,50,1.0,1
1783400764.514,27.06,3.2618184829332733,1.5044271914501277,65.12032248713521,50,1.0,1
1783400764.621,27.16,3.2833397914397247,1.5539910899480613,66.52886871780716,50,1.0,1
